ml,mAU
47.85,79.13
47.99,69.89
48.12,61.79
48.25,55.40
48.39,49.89
48.52,45.15
48.65,41.37
48.79,38.08
48.92,35.22
49.05,32.97
49.19,30.99
49.32,29.30
49.45,27.94
49.59,26.75
49.72,25.77
49.85,25.08
49.99,24.54
50.12,24.15
50.25,23.96
50.39,23.88
50.52,23.96
50.65,24.14
50.79,24.44
50.92,24.81
51.05,25.21
51.19,25.66
51.32,26.23
51.45,26.75
51.59,27.26
51.72,27.75
51.85,28.21
51.99,28.64
52.12,29.02
52.25,29.26
52.39,29.43
52.52,29.50
52.65,29.49
52.79,29.39
52.92,29.19
53.05,28.88
53.19,28.50
53.32,28.04
53.45,27.51
53.59,26.92
53.72,26.20
53.85,25.51
53.99,24.84
54.12,24.10
54.25,23.37
54.39,22.74
54.52,22.11
54.65,21.56
54.79,21.05
54.92,20.60
55.05,20.33
55.19,20.09
55.32,20.00
55.45,19.98
55.59,20.15
55.72,20.45
55.85,20.92
55.98,21.50
56.12,22.34
56.25,23.36
56.38,24.58
56.52,26.10
56.65,27.73
56.78,29.59
56.92,31.85
57.05,34.26
57.18,36.94
57.32,40.02
57.45,43.19
57.58,46.81
57.72,50.76
57.85,54.70
57.98,58.98
58.12,63.66
58.25,68.32
58.38,73.16
58.52,78.29
58.65,83.26
58.78,88.40
58.92,93.62
59.05,98.43
59.18,103.16
59.32,107.88
59.45,112.05
59.58,115.82
59.72,119.46
59.85,122.47
59.98,125.03
60.12,127.09
60.25,128.57
60.38,129.42
60.52,129.67
60.65,129.31
60.78,128.38
60.92,126.82
61.05,124.83
61.18,122.25
61.32,119.25
61.45,115.86
61.58,112.07
61.72,107.80
61.85,103.39
61.98,98.79
62.12,93.76
62.25,88.88
62.38,83.96
62.52,78.79
62.65,73.83
62.78,69.04
62.92,64.14
63.05,59.63
63.18,55.31
63.32,50.94
63.45,47.08
63.58,43.37
63.72,39.76
63.85,36.54
63.98,33.56
64.12,30.66
64.25,28.11
64.38,25.80
64.52,23.62
64.65,21.73
64.78,20.05
64.92,18.45
65.05,17.05
65.18,15.90
65.32,14.72
65.45,13.77
65.58,12.89
65.72,12.13
65.85,11.50
65.98,10.95
66.12,10.38
66.25,9.96
66.38,9.58
66.52,9.25
66.65,8.95
66.78,8.70
66.92,8.52
67.05,8.31
67.18,8.15
67.32,8.04
67.45,7.95
67.58,7.83
67.72,7.82
67.85,7.74
67.98,7.72
68.12,7.74
68.25,7.75
68.38,7.80
68.51,7.81
68.65,7.89
68.78,7.94
68.91,8.04
69.05,8.14
69.18,8.23
69.31,8.33
69.45,8.44
69.58,8.56
69.71,8.69
69.85,8.79
69.98,8.94
70.11,9.07
70.25,9.25
70.38,9.37
70.51,9.54
70.65,9.67
70.78,9.84
70.91,10.05
71.05,10.28
71.18,10.55
71.31,10.91
71.45,11.29
71.58,11.77
71.71,12.34
71.85,12.97
71.98,13.73
72.11,14.66
72.25,15.66
72.38,16.83
72.51,18.17
72.65,19.64
72.78,21.23
72.91,23.15
73.05,25.18
73.18,27.36
73.31,29.91
73.45,32.46
73.58,35.08
73.71,37.97
73.85,40.95
73.98,43.93
74.11,47.15
74.25,50.43
74.38,53.51
74.51,56.94
74.65,60.17
74.78,63.31
74.91,66.43
75.05,69.37
75.18,72.14
75.31,74.75
75.45,77.24
75.58,79.40
75.71,81.27
75.85,83.00
75.98,84.44
76.11,85.65
76.25,86.50
76.38,87.07
76.51,87.36
76.65,87.35
76.78,87.06
76.91,86.52
77.05,85.76
77.18,84.77
77.31,83.57
77.45,82.21
77.58,80.66
77.71,79.01
77.85,77.14
77.98,75.26
78.11,73.31
78.25,71.20
78.38,69.18
78.51,67.14
78.65,65.00
78.78,63.00
78.91,60.96
79.05,58.93
79.18,57.04
79.31,55.26
79.45,53.41
79.58,51.87
79.71,50.35
79.85,48.85
79.98,47.58
80.11,46.37
80.25,45.25
80.38,44.22
80.51,43.28
80.64,42.39
80.78,41.66
80.91,40.95
81.04,40.36
81.18,39.78
81.31,39.26
81.44,38.77
81.58,38.36
81.71,37.99
81.84,37.58
81.98,37.17
82.11,36.78
82.24,36.37
82.38,35.99
82.51,35.59
82.64,35.15
82.78,34.69
82.91,34.21
83.04,33.69
83.18,33.18
83.31,32.58
83.44,31.97
83.58,31.32
83.71,30.63
83.84,29.92
