ml,mAU
12.14,2.68
12.18,2.59
12.21,2.53
12.24,2.48
12.27,2.45
12.31,2.35
12.34,2.30
12.37,2.23
12.40,2.19
12.44,2.17
12.47,2.12
12.50,2.09
12.53,2.05
12.57,2.00
12.60,1.96
12.63,1.94
12.66,1.93
12.70,1.86
12.73,1.79
12.76,1.76
12.79,1.71
12.83,1.69
12.86,1.64
12.89,1.55
12.92,1.50
12.96,1.45
12.99,1.39
13.02,1.36
13.05,1.28
13.09,1.24
13.12,1.22
13.15,1.17
13.18,1.14
13.22,1.06
13.25,1.04
13.28,0.97
13.31,0.99
13.35,0.97
13.38,0.93
13.41,0.93
13.44,0.91
13.47,0.91
13.51,0.86
13.54,0.88
13.57,0.88
13.60,0.86
13.64,0.82
13.67,0.84
13.70,0.83
13.73,0.83
13.77,0.83
13.80,0.81
13.83,0.79
13.86,0.82
13.90,0.80
13.93,0.79
13.96,0.79
13.99,0.76
14.03,0.75
14.06,0.73
14.09,0.71
14.12,0.70
14.16,0.70
14.19,0.68
14.22,0.69
14.25,0.67
14.29,0.66
14.32,0.65
14.35,0.61
14.38,0.62
14.42,0.61
14.45,0.62
14.48,0.59
14.51,0.57
14.55,0.58
14.58,0.56
14.61,0.56
14.64,0.54
14.68,0.56
14.71,0.55
14.74,0.56
14.77,0.56
14.81,0.54
14.84,0.55
14.87,0.53
14.90,0.57
14.94,0.55
14.97,0.58
15.00,0.55
15.03,0.55
15.07,0.53
15.10,0.56
15.13,0.54
15.16,0.53
15.20,0.54
15.23,0.53
15.26,0.51
15.29,0.50
15.33,0.50
15.36,0.50
15.39,0.52
15.42,0.50
15.46,0.49
15.49,0.48
15.52,0.49
15.55,0.49
15.59,0.51
15.62,0.52
15.65,0.52
15.68,0.52
15.72,0.53
15.75,0.53
15.78,0.56
15.81,0.57
15.85,0.58
15.88,0.58
15.91,0.56
15.94,0.57
15.98,0.59
16.01,0.55
16.04,0.55
16.07,0.56
16.11,0.55
16.14,0.57
16.17,0.54
16.20,0.56
16.23,0.53
16.27,0.53
16.30,0.53
16.33,0.53
16.36,0.52
16.40,0.50
16.43,0.52
16.46,0.50
16.49,0.51
16.53,0.51
16.56,0.53
16.59,0.51
16.62,0.52
16.66,0.51
16.69,0.51
16.72,0.53
16.75,0.53
16.79,0.49
16.82,0.52
16.85,0.52
16.88,0.56
16.92,0.57
16.95,0.60
16.98,0.57
17.01,0.58
17.05,0.65
17.08,0.64
17.11,0.68
17.14,0.71
17.18,0.73
17.21,0.76
17.24,0.78
17.27,0.78
17.31,0.82
